player,cluster
slavking,0
WormHole,2
hosein_zh2008,0
so_sad,0
PatBateman,1
kingofchess,2
Patolino,1
lind1,1
pronik,1
IvTK,1
SCACCHIS,2
hifi,1
ivan_lo,1
Lizok,1
lionvdv1,2
dnzylmz,1
Esmeraldo,1
Sap-sa-de,1
Atyzze,0
yoidk,0
AmanteDeiSogni,1
zoroastro,1
oblivion77,1
Zeit_Not,0
delp,2
Tanatos,1
Regal,0
Vodolaz,1
Uros022,1
sidneycrode,1
elenin012,1
Jurist,1
abdooo,0
piligrim,1
coolmanskasparov,2
miooim,2
galahad,1
Armada,0
HLD,1
tsinnema-standard,2
kazemti,1
POL,0
tamachi,0
luc5,1
szelman,1
plateado,1
Yula,1
AlexPers,0
Osvovan,2
kimikilla,2
screwball,1
marylouis,1
nirro,0
ninoelle,1
meberlioz,1
CaptMorgan,1
8886,0
deltaflyer,1
LeHiboux,0
karlmarx,2
tiby312,2
hgrey,1
Duri123,2
OWC14,1
jm70,1
toma-st,2
ataknat,0
Communist,0
Castlan,0
magome,1
rosh_,0
flamez911,2
BisonBasque,0
XapbkoB,2
oneerlijk,1
Kuna,1
www_aglona_travel,2
Mephostophilis,0
apolo,1
thepenis,1
dlbr,2
Benimacleter,2
VanFkingHalen,2
solcosmico,0
stau,2
Ariel2252,1
mchelken,0
Darewaves,1
Mikur,0
ziptal,0
tr1plem,2
DaveBloom,0
thechessengine,1
yourMaster,2
davidsalazar,2
humanlist,2
SugarCoatedPills,0
La-la-la-la,1
rapitrance,1
cornsnacks,0
milano1,0
kostadinov1972,0
pablo1,1
Josemii93,1
juuk,1
PersianBoy,1
DarkKnight7,2
Mish,1
GUUINPLAST,2
ariloulaleelay,1
dramaqueen,1
BadTouch,2
Capodistria1776,0
WakeUpNeo,0
Clarkey,0
Lacme1,0
surgeon,2
andreev,2
tatan19,1
Weinstein,1
base778,1
janq,0
S1DNE1,2
BjossiSv,0
Baboon,1
captainRobinson,1
Nego,2
vxgjxjgfxggjgj,0
xms,1
oscardalmasso,2
Gi69,1
Maniacal,1
zivnix,0
hellion,1
HonchoIII,2
3en,0
evangeline22,0
serxi,0
jlmantero,0
dyson,0
Rassvet,1
AmehdiGhadim,1
juniorchik,2
Lawyer,0
MetalPirate,0
Ivan_Vodka,1
fat0troll,0
6s,2
carlos013,1
fgbarone,0
karo-kun,1
promiscuo,0
sonsimp,0
TeenOh,1
Terribad,0
dimehola,0
Del,1
paxworth,1
Kurwa,2
Oz,2
Skeletor,1
jalilroozban,1
staric,1
thegame_11,2
brus-vs,0
madkupe,0
Tsoomoo,1
dnc,1
amiremami,1
partakcrm,2
Genuine,0
WWS,1
ckursad,0
hetatho,1
yur-koto,1
OBOIIJE6A3A,1
jeh-1,2
SOPOT777,1
William_V,1
sunero,0
tezo79,1
Volopas,0
kekko0808,2
24197,0
saeedniknam,0
Azat,2
ewrdfcv,2
TIXOPOY,0
asadinia,1
volk,0
zettadam,1
SirAsmoo,2
des75,1
michelino2,0
karl008,1
r4mp24l1s,1
bfantesia,1
phantom2013,0
wert,0
GrandZen,2
Nini1402,0
slazorenko,1
zhorik_kapov,0
James_dude,1
tomi36,0
rovokopac,0
BlackDingo,1
momentum,0
Di_diver,1
mustroll,2
LOR_J,0
DarkStrike,0
SonicTheHedgehog,0
griffit2013,0
emanuelf,2
AvImd,2
PAMC,1
velimaxi,1
alfix,0
all-others,0
tierrita_cb,2
torronteras,2
HAL-9000,1
bfgkmc1,2
112358,1
Mercurial,0
Eks,1
cakey,1
J4n,0
Nita_Liona,0
marciogyn,2
BIGWORM,1
Wen,1
mcrobbie,2
firef,2
hayweyyy,2
Charles,1
Liberia,1
Yu_Si,0
mohamad79,1
legend,1
yuri_chess,1
gomi13,2
NIKOLAY1978,1
hojjati,2
Fisher111,0
elmassrey,1
scannow,0
trekronor,1
sah4567,0
khas,1
Papst_Benedikt,2
MaybeSheLikesHam,0
Vera92,0
Shura,1
DIgorevich,2
dyb4hzvo,2
epok,0
qsalister,0
jjbus,1
olinchuk,1
DIESELL,1
Mats,1
Nona,1
XRat,2
tigrbavi,1
E_R,0
NinjaWithKatana,1
Alik,1
saa,0
Dobrodruh,1
Beer-chess-dubstep,0
pierratafia,0
infa,0
0day,1
lilas,1
chess-player,0
superpaisano,1
ghodsian,1
krab1kovSUP4IK,0
blusah,0
flcjp,2
supercraps4ede,1
kall-max,0
wrack,0
Gileade,0
mikel,1
TUCACHERO,2
regordrum,0
AntaresS81,1
apsu2323,1
iLucky,1
pakap,1
adam_zett,0
gil,1
grass,1
juscelk,1
welshman,0
Torturous,1
TomasF,0
Puma,2
gremlin_the_red,1
GentlemanChess,1
sshilovsky,0
Memyself,2
ivan11,1
MensserFrancisco,2
thinkgud,0
kosbar,1
jess67,1
Sergeevich,2
dunny,1
artemka,1
LLUNA,1
Xhosa,1
HelelOBom,0
Alex,1
mazzamuz,0
BlubbaEkke,1
terminator100,1
kloun,0
opera,0
